柳暗花明又一村 pos
巧妇难无火之炊 neg
一失足成千古恨 neg
冤有头，债有主 neg
有缘千里来相会 pos
存十一於千百 neg
河水不犯井水 neg
高不輳低不就 pos
不分青红皂白 neg
驴脣不对马嘴 neg
如堕五里雾中 neg
强不知以为知 neg
牛头不对马嘴 neg
有眼不识泰山 neg
高鸟尽良弓藏 neg
一口吃个胖子 neg
口惠而实不至 neg
不问青红皂白 neg
驴头不对马嘴 neg
手无缚鸡之力 neg
不知天高地厚 neg
无所不用其极 neg
有志者事竟成 pos
真金不怕火炼 pos
打肿脸充胖子 neg
燕众议员虎颈 pos
顾左右而言他 neg
没什么了不得 neg
拆东墙补西墙 neg
没什么了不起 neg
耳闻不如目见 pos
有限不识泰山 neg
有志不在年高 pos
士为知己者死 pos
有过之无不及 pos
呜鼓而攻攻之 neg
驴唇不对马嘴 neg
喜怒不形于色 pos
地区霸权主义 neg
不足为外人道 neg
大开方便之门 neg
具有历史意义 pos
令人毛骨悚然 neg
明人不做暗事 pos
君子之接如水 pos
如坠五里雾中 neg
惊天地泣鬼神 pos
受过良好训练 pos
远水不救近火 neg
人人得而诛之 neg
岌岌不可终日 neg
跼高天蹐厚地 neg
只顾自身利益 neg
毕其功于一役 neg
三寸不烂之舌 pos
热锅上的蚂蚁 neg
雷声大雨点小 neg
不问是非情由 neg
如入无人之境 pos
英雄所见略同 pos
无所不尽其极 pos
高不凑低不就 pos
憋着一肚子气 neg
令人大开眼界 pos
百闻不如一见 neg
前怕狼后怕虎 neg
翻手云覆手雨 neg
天无绝人之路 pos
高不成低不就 neg
右倾机会主义 neg
拉大旗作虎皮 neg
地方民族主义 neg
长安居大不易 neg
挂羊头卖狗肉 neg
滑天下之大稽 neg
鸡蛋里挑骨头 neg
太岁头上动土 neg
阶级异己分子 neg
未可同日而语 pos
哀莫大于心死 neg
死无葬身之地 neg
骂得狗血喷头 neg
前言不搭后语 neg
天有不测风云 neg
水至清则无鱼 neg
百星不如一月 neg
君子成人之美 pos
爱博而情不专 neg
食而不知其味 neg
一步一个脚印 pos
缺乏绅士风度 neg
蟪蛄不知春秋 neg
闭眼睛捉麻雀 neg
脚踏两只船 neg
无立足之地 neg
三顾茅庐　 pos
强盗挂念珠 neg
四海皆兄弟 pos
鹿死不择廕 neg
没受过教育 neg
自以为得计 neg
河东狮子吼 neg
书生气十足 neg
小巫见大巫 neg
马上得天下 pos
大节不可夺 pos
驽马恋栈豆 neg
骑驴风雪中 pos
布氏杆菌病 neg
急来抱佛脚 neg
强死强活　 neg
宴安鸩素毒 neg
螽斯衍庆　 pos
海屋添筹　 pos
鹿死不择音 neg
盲人骑瞎马 neg
黑漆皮灯笼 neg
无巧不成话 pos
醉酒饱德　 pos
卖狗皮膏药 neg
酒食征逐　 neg
病急乱投医 neg
水火不相容 neg
超经济剥削 neg
不是滋味儿 neg
不以人废言 pos
吹胡子瞪眼 neg
繁文缛节　 neg
大白于天下 pos
刺激性毒剂 neg
打拱作揖　 pos
温良恭俭让 pos
无所错手足 neg
骑驴吟灞上 pos
打破醋坛子 neg
大民族主义 neg
千金买骏骨 pos
貌似真实的 neg
以文会友　 pos
交口称誉　 pos
一知半解　 neg
十日之饮　 pos
口碑载道　 pos
竹篮子打水 neg
末学肤受　 neg
大事不糊涂 pos
"上无片瓦 neg
人地生疏　 neg
无所施其技 neg
无何有之乡 neg
一推六二五 neg
BUCUO pos
骑鹤上扬州 neg
无用武之地 neg
屈高就下　 pos
千呼万唤　 neg
竖子成名　 neg
摊书傲百城 pos
桃李满天下 pos
谩上不谩下 neg
功到自然成 pos
骑上扬州鹤 neg
骑牛读汉书 pos
萨噶达娃节 pos
寿元无量　 pos
杀人不眨眼 neg
饱暖思淫欲 neg
依样画葫芦 neg
后浪推前浪 pos
天保九如　 pos
秋风扫落叶 pos
千里寄鹅毛 pos
史弟阋于墙 neg
群起而攻之 neg
苛政猛于虎 neg
托陈取消派 neg
哑子吃黄连 neg
两小无猜　 pos
替古人耽忧 neg
陈规陋习　 neg
终非池中物 pos
一二九运动 pos
烈火见真金 pos
羡慕ING pos
贻笑大方　 neg
鲤鱼跳龙门 pos
知之为知之 pos
勿为左右袒 pos
初生牛犊般 pos
托马斯主义 neg
银样蜡枪头 neg
像煞有介事 neg
以蠡测海　 neg
守望相助　 pos
骑鹤上维扬 neg
温良谦恭让 pos
毫无保留地 pos
版版六十四 neg
疑心生暗鬼 neg
文化大革命 neg
狗咬吕洞宾 neg
贵人多忘事 neg
太丘道广　 pos
无敌于天下 pos
一路福星　 pos
倚酒三分醉 neg
价廉质优| pos
一个心眼儿 pos
核讹诈政策 neg
一锹掘个井 neg
言语妙天下 pos
着三不着两 neg
大眼看小眼 neg
墙倒众人推 neg
无所措手足 neg
摊书拥百城 neg
如鱼得水　 pos
快刀斩乱麻 pos
顾前不顾后 neg
无所施其伎 neg
杀人不见血 neg
一身都是胆 pos
高义薄云天 pos
不弃草昧　 pos
饱暖生淫欲 neg
替古人担忧 neg
一棍子打死 neg
熊罴入梦　 pos
富贵不能淫 pos
歃血为盟　 pos
日久见人心 pos
燕雀相贺　 pos
无道德观念 neg
珠玉在侧　 pos
牵羊担酒　 pos
"眉头一皱 pos
他乡遇故知 pos
疾风知劲草 pos
一问三不知 neg
负薪之忧　 neg
快刀斩乱丝 pos
板板六十四 neg
顾头不顾尾 neg
不能赞一词 pos
备位充数　 neg
天涯若比邻 pos
天安门事件 neg
蚍蜉撼大树 neg
"老鼠过街 neg
开口见喉咙 pos
久旱逢甘雨 pos
樗栎庸材　 neg
严师出高徒 pos
无毒不丈夫 neg
郁郁不得志 neg
步步生莲华 pos
比翼齐飞? 
一碗水端平 pos
钻牛角尖儿 neg
啥也不说了 neg
岁寒知松柏 pos
公门桃李　 pos
不平等条约 neg
司马昭之心 neg
鹊笑鸠舞　 pos
_ding pos
有鼻子有眼 pos
少小无猜　 pos
病毒性肝炎 neg
未受过教育 neg
万寿无疆　 pos
铁棒磨成针 pos
承欢膝下　 pos
击节称赏　 pos
骑鹤更扬州 neg
竹苞松茂　 pos
三年不窥园 pos
天高皇帝远 neg
抛头露面　 neg
后浪催前浪 pos
物以类聚　 neg
无官一身轻 pos
人间重晚晴 pos
糠菜半年粮 neg
qiang pos
银样镴枪头 neg
具有吸引力 pos
铁杵磨成针 pos
一鼻孔出气 neg
吃里爬外　 neg
狮子大开口 neg
Cool毙 pos
上不得台盘 neg
千里送鹅毛 pos
了了解人意 pos
百折不挠地 pos
鹿死不择荫 neg
灰头土脸儿 neg
一言以蔽之 pos
握手言欢　 pos
桃李遍天下 pos
扶危济困　 pos
十步九回头 neg
骑鹤望扬州 neg
长命富贵　 pos
皮笑肉不笑 neg
朽木不可雕 neg
为人说项　 pos
无容身之地 neg
手脚不干净 neg
救人须救彻 pos
换汤不换药 neg
没见过世面 neg
覆巢无完卵 neg
敢怒不敢言 neg
何乐而不为 pos
大错而特错 neg
Happy pos
兵败如山倒 neg
五鬼闹判　 neg
蓬荜生辉　 pos
闪烁其辞 neg
鬼哭神愁 neg
乐成人美 pos
赏不遗贱 pos
横拖倒扯 neg
智小言大 neg
通文达艺 pos
丽藻春葩 pos
饥冻交切 pos
交疏吐诚 pos
铢积锱累 pos
一身清白 pos
闲花埜草 neg
鱼烂取亡 neg
达官显宦 pos
智勇兼全 pos
马勃牛溲 neg
工工整整 pos
弃邪从正 pos
橘化为枳 neg
再造之思 pos
恶不去善 pos
轰天裂地 pos
欢忻鼓舞 pos
万众一心 pos
毛发耸然 neg
锄强扶弱 pos
残渣余孽 neg
左右图史 pos
饥肠辘辘 neg
快心遂意 pos
死而不朽 pos
千金市骨 pos
枭蛇鬼怪 neg
无如之何 neg
高倪大谈 pos
铁郭金城 pos
忘寝废食 pos
顶天立地 pos
改柯易叶 pos
横槊赋诗 pos
开来继往 pos
孤魂野鬼 neg
海立云垂 pos
荆棘载途 neg
文治武力 pos
福与天齐 pos
骇然失色 neg
营营苟苟 neg
爱屋及乌 neg
鱼龙混杂 neg
坐享其成 neg
对景挂画 pos
铁板铜弦 pos
指东话西 neg
老于世故 neg
种族主义 neg
果于自信 neg
反裘负刍 neg
令人钦佩 pos
鹭朋鸥侣 pos
民怨盈涂 neg
复蹈前辄 neg
一哄而散 neg
功成名就 pos
伴食宰相 neg
迂回曲折 neg
百无一是 neg
暴虎冯河 neg
蹇之匪躬 pos
大名鼎鼎 pos
敲冰索火 neg
驿路梅花 pos
世态炎凉 neg
闻风而兴 pos
精神抖擞 pos
负隅顽抗 neg
枉己正人 neg
随世沈浮 neg
驷不及舌 pos
通力合作 pos
洁浊扬清 pos
杂乱无章 neg
破罐破摔 neg
邪魔外道 neg
驽马十驾 pos
与世沉浮 neg
乱语胡言 neg
罄竹难书 neg
怀着鬼胎 neg
琵琶胡语 neg
万夫不当 pos
俛拾仰取 pos
守阙抱残 neg
否终则泰 pos
行之有效 pos
今夕何夕 pos
蛮横无理 neg
抚心自问 neg
颊上三毛 pos
举案齐眉 pos
整本大套 pos
生死不二 pos
口角春风 neg
同盘而食 pos
利喙赡辞 pos
袭人故技 neg
口直心快 pos
昊天罔极 pos
出身高贵 pos
没齿难忘 pos
偎慵堕懒 neg
通天达地 pos
有的放矢 pos
没有搀杂 pos
坚苦卓绝 pos
放泼撒豪 neg
含垢纳污 neg
渔翁之利 neg
强文浉醋 neg
后起之秀 pos
讬之空言 neg
酣痛淋漓 pos
匹马一麾 pos
为虎傅翼 pos
枕善而居 pos
林下风致 pos
花好月圆 pos
羽毛未丰 neg
胡拉乱扯 neg
道高望重 pos
甘心瞑目 pos
九间朝殿 pos
龙神马壮 pos
兔死狗烹 neg
言行相诡 neg
嬉笑怒骂 neg
毛骨竦然 neg
庸言庸行 neg
讳树数马 pos
所费不赀 neg
投木报琼 pos
谈空说有 neg
公明正大 pos
不法常可 pos
左顾右盼 neg
滴里嘟噜 neg
心直口快 pos
天壤王郎 neg
三旨相公 neg
持正不阿 pos
击碎唾壶 pos
鼎新革故 pos
不亢不卑 pos
呆头呆脑 neg
悃幅无华 pos
玲珑透漏 pos
华冠丽服 pos
朝气勃勃 pos
丰富多彩 pos
豕窜狼逋 neg
沽激虚名 neg
极情尽致 pos
深仁厚泽 pos
剥肤及髓 neg
福寿绵绵 pos
探囊取物 pos
进退双难 neg
一曝十寒 neg
殚精极虑 pos
含糊其词 neg
质非文是 neg
乱臣贼子 neg
刮肠洗胃 pos
不染一尘 pos
风虎云龙 pos
焕然如新 pos
不折不扣 pos
乐退安贫 pos
水米无交 pos
察言观色 neg
可歌可泣 pos
尾大难掉 neg
称王称霸 neg
滚瓜烂熟 pos
普渡众生 pos
左右逢源 pos
百折不回 pos
连明达夜 neg
平心而论 pos
如汤灌雪 pos
鲁鱼帝虎 neg
镂心呕血 pos
铢积丝累 pos
伤心疾首 neg
危言高论 pos
不经之说 neg
内视反听 neg
邂逅相遇 pos
五彩纷呈 pos
百花齐放 pos
藏垢纳污 neg
昂首望天 neg
糊糊涂涂 neg
买爵贩官 neg
尊师重道 pos
不知深浅 neg
功成事立 pos
李广未封 neg
掷地赋声 pos
视下如伤 pos
山穷水断 neg
俯首听命 neg
二八佳人 pos
一日之长 pos
言之凿凿 pos
倔头强脑 neg
彫章镂句 pos
看人行事 neg
锦心绣腹 pos
金波玉液 pos
吉日良时 pos
惟利是求 neg
狗盗鸡鸣 neg
河出伏流 pos
屦及剑及 pos
婢膝奴颜 neg
松枝挂剑 pos
孤行吊影 neg
镜里观花 neg
神焦鬼烂 neg
豁然大悟 pos
仁者能仁 pos
誓死不二 pos
大缪不然 neg
明目张胆 neg
泼油救火 neg
倚强凌弱 neg
故旧不弃 pos
打击报复 neg
举一废百 neg
骇目惊心 neg
见溺不救 pos
嚼墨喷纸 pos
计深虑远 pos
表里如一 pos
随物应机 pos
鼓舞欢欣 pos
麻木不仁 neg
六韬三略 pos
傲贤慢士 neg
连阶累任 pos
凤皇来仪 pos
迁善去恶 pos
堂皇富丽 pos
从容自若 pos
体无完皮 neg
天之僇民 neg
齐东野语 neg
丽句清词 pos
认贼为子 neg
只字不提 neg
贞不绝俗 pos
天地诛戮 neg
双瞳剪水 pos
赤诚相待 pos
地久天长 pos
求民病利 pos
声气相通 neg
洁清自矢 pos
匹马当先 pos
望梅止渴 pos
驴鸣犬吠 neg
扬武耀威 pos
颓垣败壁 neg
披枷带锁 neg
见经识经 pos
鸟尽弓藏 neg
无私无畏 pos
铜驼草莽 neg
见几而作 pos
伤天害理 neg
戴高帽子 neg
不闻不问 neg
逸韵高致 pos
为蛇添足 neg
克绍箕裘 pos
博闻强志 pos
书香世家 pos
韬光养晦 pos
说白道绿 neg
瓮中之鳖 pos
治病救人 pos
北宫婴儿 pos
詀言詀语 neg
临机处置 pos
三顾草庐 pos
巧夺天工 pos
舒舒服服 pos
闭关锁国 neg
忘怀得失 pos
膘肥体壮 pos
俗下文字 neg
如鱼似水 pos
研精殚力 pos
七贞九烈 pos
寂天寞地 neg
犀燃烛照 pos
龙跃凤鸣 pos
焚薮而田 neg
目如悬珠 pos
慷慨激昂 pos
孤傲不群 neg
逐臭之夫 neg
居利思义 neg
胡搅蛮缠 neg
心如金石 pos
"不怨天 pos
极负盛誉 pos
一团和气 pos
用兵如神 pos
马腹逃鞭 neg
凿骨捣髓 neg
水底捞月 neg
